1112223334s 12345s
1113445s北北北 4s
11134567s北北 258s
1113456s北北北 236s
1113466s北北北 25s
1113477s北北北 25s
1113566s北北北 4s
1113567s北北北 23s
1113577s北北北 4s
1114456677s 58s
11144566s北北 5s
1114456s北北北 47s
1114457s北北北 6s
1114467s北北北 58s
11145667s北北 58s
1114566s北北北 36s
1114577s北北北 36s
1114677s北北北 5s
11156677s北北 58s
1115667s北北北 6s
1115677s北北北 47s
1122233344s 14s
1122233345s 12356s
1122233346s 56s
1122233356s 47s
1122233357s 6s
1122233366s 146s
1122233367s 58s
1122233377s 147s
11222333s北北 14s北
1122233445s 125s
1122233456s 123s
1122233466s 3s
1122233477s 3s
11222334s北北 3s
1122233567s 123s
1122233s北北北 123s
1122234456s 125s
1122234567s 1258s
1122234s北北北 125s
1122235s北北北 4s
1122244566s 5s
1122245667s 58s
1122245s北北北 36s
1122246s北北北 5s
1122256677s 58s
1122256s北北北 47s
1122257s北北北 6s
1122267s北北北 58s
1122333445s 14s
1122333456s 1236s
1122333466s 25s
1122333477s 25s
11223334s北北 25s
1122333566s 4s
1122333567s 123s
1122333577s 4s
11223335s北北 4s
1122333s北北北 123s
1122334456s 147s
1122334457s 6s
1122334467s 58s
1122334566s 36s
1122334567s 147s
1122334577s 36s
11223345s北北 36s
1122334677s 5s
11223346s北北 5s
1122334s北北北 14s
1122335667s 6s
1122335677s 47s
11223356s北北 47s
11223357s北北 6s
11223367s北北 58s
1122344567s 3s
1122344s北北北 3s
1122345677s 3s
11223456s北北 3s
11223567s北北 3s
1122366s北北北 3s
1122377s北北北 3s
1123334456s 13s
1123334566s 2s
1123334567s 13s
1123334577s 2s
11233345s北北 2s
1123334s北北北 13s
1123344567s 258s
1123344s北北北 25s
1123345677s 2s
11233456s北北 2s
1123345s北北北 14s
11233567s北北 2s
1123366s北北北 2s
1123377s北北北 2s
1123445667s 58s
1123445s北北北 36s
1123446s北北北 5s
1123456677s 58s
1123456s北北北 147s
1123457s北北北 6s
1123467s北北北 58s
1123567s北北北 14s
1124456s北北北 3s
1124567s北北北 3s
1133344566s 5s
1133345667s 58s
1133345s北北北 136s
1133346s北北北 5s
1133356677s 58s
1133356s北北北 47s
1133357s北北北 6s
1133367s北北北 58s
1133445s北北北 25s
1134456s北北北 25s
1134567s北北北 258s
1144566s北北北 5s
1145667s北北北 58s
1156677s北北北 58s
1222333445s 25s
1222333456s 123s
1222333466s 14s
1222333477s 14s
12223334s北北 14s
1222333567s 123s
1222333s北北北 123s
1222334456s 25s
1222334466s 3s
1222334477s 3s
12223344s北北 3s
1222334566s 26s
1222334567s 258s
1222334577s 27s
12223345s北北 2s北
1222334s北北北 25s
1222335s北北北 4s
1222344566s 5s
1222344567s 24s
1222344s北北北 24s
1222345667s 58s
1222345677s 27s
12223456s北北 2s北
1222345s北北北 136s
1222346s北北北 5s
1222356677s 58s
12223567s北北 2s北
1222356s北北北 47s
1222357s北北北 6s
1222366s北北北 26s
1222367s北北北 58s
1222377s北北北 27s
1222456s北北北 13s
1222567s北北北 13s
1223334456s 36s
1223334466s 25s
1223334477s 25s
12233344s北北 25s
1223334566s 14s
1223334567s 3s
1223334577s 14s
12233345s北北 14s
1223334s北北北 3s
1223344566s 36s
1223344567s 147s
1223344577s 36s
12233445s北北 36s
1223344677s 5s
12233446s北北 5s
1223344s北北北 14s
1223345667s 6s
1223345677s 147s
12233456s北北 147s
12233457s北北 6s
1223345s北北北 25s
12233467s北北 58s
12233567s北北 14s
1223366s北北北 14s
1223377s北北北 14s
1223445677s 3s
12234456s北北 3s
12234567s北北 3s
1223456s北北北 2s
1223466s北北北 3s
1223477s北北北 3s
1223567s北北北 2s
1233344566s 25s
1233344567s 34s
1233344577s 25s
12333445s北北 25s
1233344s北北北 34s
1233345667s 58s
1233345677s 37s
12333456s北北 3s北
1233345s北北北 36s
1233346s北北北 5s
1233356677s 58s
12333567s北北 3s北
1233356s北北北 47s
1233357s北北北 6s
1233366s北北北 36s
1233367s北北北 58s
1233377s北北北 37s
1233445677s 25s
12334456s北北 25s
1233445s北北北 14s
12334567s北北 258s
1233456s北北北 36s
1233466s北北北 25s
1233477s北北北 25s
1233566s北北北 4s
1233567s北北北 3s
1233577s北北北 4s
1234456677s 58s
12344566s北北 5s
1234456s北北北 147s
1234457s北北北 6s
1234467s北北北 58s
12345667s北北 58s
1234566s北北北 36s
1234577s北北北 36s
1234677s北北北 5s
12356677s北北 58s
1235667s北北北 6s
1235677s北北北 47s
1244567s北北北 3s
1245677s北北北 3s
1333456s北北北 12s
1333567s北北北 12s
1334566s北北北 2s
1334577s北北北 2s
1344567s北北北 2s
1345677s北北北 2s
2223334456s 23457s
2223334457s 6s
2223334466s 146s
2223334467s 58s
2223334477s 147s
22233344s北北 14s北
2223334566s 36s
2223334567s 234578s
2223334577s 367s
22233345s北北 36s北
2223334677s 5s
22233346s北北 5s
2223334s北北北 2345s
2223335667s 6s
2223335677s 47s
22233356s北北 47s
22233357s北北 6s
2223335s北北北 45s
22233367s北北 58s
2223344566s 256s
2223344567s 23458s
2223344577s 257s
22233445s北北 25s北
2223344s北北北 2345s
2223345667s 58s
2223345s北北北 1346s
2223346s北北北 5s
2223356677s 58s
2223356s北北北 47s
2223357s北北北 6s
2223367s北北北 58s
2223445667s 58s
2223445677s 257s
22234456s北北 25s北
2223445s北北北 346s
2223446s北北北 5s
2223456677s 5678s
22234567s北北 258s北
2223456s北北北 13467s
2223457s北北北 67s
2223466s北北北 256s
2223467s北北北 58s
2223477s北北北 257s
2223566s北北北 4s
2223567s北北北 134s
2223577s北北北 4s
2224456677s 58s
22244566s北北 5s
2224456s北北北 347s
2224457s北北北 6s
2224467s北北北 58s
22245667s北北 58s
2224566s北北北 36s
2224567s北北北 347s
2224577s北北北 36s
2224677s北北北 5s
22256677s北北 58s
2225667s北北北 6s
2225677s北北北 47s
2233344566s 145s
2233344567s 234s
2233344577s 14s
22333445s北北 14s
2233344s北北北 234s
2233345667s 58s
2233345s北北北 236s
2233346s北北北 5s
2233356677s 58s
2233356s北北北 47s
2233357s北北北 6s
2233367s北北北 58s
2233445667s 6s
2233445677s 147s
22334456s北北 147s
22334457s北北 6s
2233445s北北北 25s
22334467s北北 58s
22334567s北北 14s
2233466s北北北 14s
2233477s北北北 14s
22344567s北北 3s
2234456s北北北 25s
2234466s北北北 3s
2234477s北北北 3s
2234567s北北北 258s
2244566s北北北 5s
2245667s北北北 58s
2256677s北北北 58s
2333445667s 58s
2333445677s 37s
23334456s北北 3s北
2333445s北北北 36s
2333446s北北北 5s
2333456677s 58s
23334567s北北 3s北
2333456s北北北 1247s
2333457s北北北 6s
2333466s北北北 36s
2333467s北北北 58s
2333477s北北北 37s
2333567s北北北 124s
23344567s北北 258s
2334456s北北北 36s
2334466s北北北 25s
2334477s北北北 25s
2334566s北北北 14s
2334567s北北北 3s
2334577s北北北 14s
23445667s北北 58s
2344566s北北北 36s
2344567s北北北 147s
2344577s北北北 36s
2344677s北北北 5s
23456677s北北 58s
2345667s北北北 6s
2345677s北北北 147s
2445677s北北北 3s
3334456677s 58s
33344566s北北 5s
3334456s北北北 2457s
3334457s北北北 6s
3334467s北北北 58s
33345667s北北 58s
3334566s北北北 36s
3334567s北北北 24578s
3334577s北北北 367s
3334677s北北北 5s
33356677s北北 58s
3335667s北北北 6s
3335677s北北北 47s
3344566s北北北 25s
3344577s北北北 25s
3345667s北北北 58s
3356677s北北北 58s
3445677s北北北 25s
4456677s北北北 58s
numCandidates 516
numFuriten 141
numNotFuriten 375
numDealIn 46
